DATE_TIME,VOLUME,RESP_AVG
2025-04-06 19:00:00,1145,8.657671306
2025-04-06 20:00:00,1375,5.664805483
2025-04-06 22:00:00,1021,5.697623836
2025-04-07 1:00:00,1449,9.034581634
2025-04-07 2:00:00,1297,6.991941263
2025-04-07 3:00:00,961,7.390051755
2025-04-07 4:00:00,1056,6.5698463
2025-04-07 5:00:00,947,6.639334652
2025-04-07 6:00:00,1023,8.764481962
2025-04-07 7:00:00,1188,7.307404017
2025-04-07 8:00:00,1033,7.334818637
2025-04-07 9:00:00,926,7.50538743
2025-04-07 10:00:00,751,8.503796426
2025-04-07 11:00:00,994,9.957761337
2025-04-07 12:00:00,7490,11.64935115
2025-04-07 13:00:00,8327,7.498820136
2025-04-07 14:00:00,1046,11.32225352
2025-04-07 15:00:00,1637,7.486018877
2025-04-07 16:00:00,1291,7.544062259
2025-04-07 17:00:00,4552,8.74635473
2025-04-07 18:00:00,10766,7.777892268
2025-04-07 19:00:00,1489,7.06390604
2025-04-07 20:00:00,7317,6.1166046
2025-04-07 21:00:00,2962,8.608838514
2025-04-07 22:00:00,1176,7.695762739
2025-04-07 23:00:00,938,16.0115476
2025-04-08 0:00:00,3529,12.13654565
2025-04-08 1:00:00,3957,12.01370692
2025-04-08 2:00:00,2927,14.52611947
2025-04-08 3:00:00,2846,10.96849142
2025-04-08 4:00:00,1667,8.3409858
2025-04-08 5:00:00,2010,9.95471728
2025-04-08 6:00:00,767,8.554685069
2025-04-08 7:00:00,1167,9.0773221
2025-04-08 8:00:00,2077,10.03922676
2025-04-08 9:00:00,1030,9.455147301
2025-04-08 10:00:00,11549,8.488445609
2025-04-08 11:00:00,12209,7.049568931
2025-04-08 12:00:00,14280,7.708775523
2025-04-08 13:00:00,12101,6.98802815
2025-04-08 14:00:00,9671,10.52879802
2025-04-08 15:00:00,1403,8.604021014
2025-04-08 16:00:00,1964,6.887572863
2025-04-08 17:00:00,1369,8.025162845
2025-04-08 18:00:00,1198,6.606268753
2025-04-08 19:00:00,1404,6.792922611
2025-04-08 20:00:00,1093,8.678843947
2025-04-08 21:00:00,1153,7.485084688
2025-04-08 22:00:00,1324,7.169412403
2025-04-08 23:00:00,1222,7.798420395
2025-04-09 0:00:00,1992,7.230556974
2025-04-09 1:00:00,1258,6.605673252
2025-04-09 2:00:00,1372,7.836139421
2025-04-09 3:00:00,1230,6.082828901
2025-04-09 4:00:00,2527,5.787286029
2025-04-09 5:00:00,1130,7.3798895
2025-04-09 6:00:00,1120,7.211430347
2025-04-09 7:00:00,1353,6.618599122
2025-04-09 8:00:00,1371,8.424697663
2025-04-09 9:00:00,1603,7.088947722
2025-04-09 10:00:00,875,6.475972072
2025-04-09 11:00:00,2170,7.825781307
2025-04-09 12:00:00,3293,8.987750969
2025-04-09 13:00:00,3450,7.428950731
2025-04-09 14:00:00,7683,9.04361724
2025-04-09 15:00:00,1298,7.6653261
2025-04-09 16:00:00,5531,8.116370019
2025-04-09 17:00:00,8027,9.058100171
2025-04-09 18:00:00,6899,7.005920969
2025-04-09 19:00:00,1318,6.442531807
2025-04-09 20:00:00,1419,8.599779216
2025-04-09 21:00:00,6697,7.066192122
2025-04-09 22:00:00,7885,5.737888165
2025-04-09 23:00:00,8152,6.301784728
2025-04-10 0:00:00,8390,6.548559642
2025-04-10 1:00:00,3910,6.30191526
2025-04-10 2:00:00,1335,8.262814503
2025-04-10 3:00:00,1367,5.760795345
2025-04-10 4:00:00,1248,5.351671777
2025-04-10 5:00:00,902,8.683635332
2025-04-10 6:00:00,3897,7.976184362
2025-04-10 7:00:00,8497,7.114558558
2025-04-10 8:00:00,8153,6.411193911
2025-04-10 9:00:00,1344,8.187453633
2025-04-10 10:00:00,1392,6.874052765
2025-04-10 11:00:00,2428,5.909472256
2025-04-10 12:00:00,2873,6.363318523
2025-04-10 13:00:00,5949,9.109014524
2025-04-10 14:00:00,5394,10.98958891
2025-04-10 15:00:00,1656,11.3171953
2025-04-10 16:00:00,2008,6.616174859
2025-04-10 17:00:00,2100,6.812022381
2025-04-10 18:00:00,2090,7.236935114
2025-04-10 19:00:00,1768,7.267451141
2025-04-10 20:00:00,1738,5.917845951
2025-04-10 21:00:00,1687,6.215674462
2025-04-10 22:00:00,1495,5.813489112
2025-04-10 23:00:00,1594,8.743591877
2025-04-11 0:00:00,1337,6.120957587
2025-04-11 1:00:00,1673,8.245138544
2025-04-11 2:00:00,1710,8.101546151
2025-04-11 3:00:00,1620,6.648258314
2025-04-11 4:00:00,1569,5.928956005
2025-04-11 5:00:00,1606,6.550879902
2025-04-11 6:00:00,1682,7.364254249
2025-04-11 7:00:00,1942,7.835347342
2025-04-11 8:00:00,1796,6.282134991
2025-04-11 9:00:00,1550,6.977299846
2025-04-11 10:00:00,2250,6.101007869
